Velo,SpinRate,HorzBreak,InducedVertBreak,Chance
93.77,2034,4.07,16.63,0.24754319999999996
94.8,2219,11.8,6.13,0.33120934999999996
97.68,2538,9.88,19.23,0.24487785000000004
85.09,1771,12.72,8.1,0.29834504000000006
88,1786,13.5,5.5,0.32903740000000004
92.68,2080,6.85,14.92,0.25945771000000006
96.71,2201,16.14,7.46,0.34628414
92.52,2408,16.07,13.7,0.27991555000000007
97.32,2046,9.6,16.26,0.28269053999999993
95.78,2257,15.84,6.45,0.34463623000000004
94.53,2060,16.93,5.06,0.3596957500000001
94.7,2544,6.52,15.04,0.24576096000000003
94.71,2181,3.15,16.58,0.24255637000000002
96.12,1626,2.93,13.45,0.29246798000000007
91.7,2275,19,7.15,0.33085365
94.18,2060,4.41,15.27,0.25748384
94.23,2278,6.96,20.41,0.22476629000000004
94.97,2303,3.8,18.51,0.22858098999999996
93.76,2356,9.5,16.61,0.24989277000000001
93.07,2450,3.11,16.04,0.22593687
94.99,2541,13.25,17.8,0.25160952999999997
95.49,2400,7.38,14.16,0.26391912
94.82,2538,15.16,9.42,0.30742521999999994
92.41,2288,12.82,16.42,0.25834798000000003
93.34,2113,11.46,15.13,0.27409561000000005
95.29,1836,3.34,14.34,0.27502370000000004
95.29,2582,10.51,20.09,0.22875426000000004
87.81,2174,13.33,13.61,0.26108416
90.93,2437,1.64,25.53,0.1549989300000001
93.83,2067,6.62,17.77,0.24740727000000007
91.66,2232,1.41,20,0.20027714999999996
95.73,2462,14.35,14.66,0.28094161000000006
89.94,2310,18.41,16.98,0.26016021
93.03,2480,8.87,17.02,0.23647036999999996
92.38,2132,14.34,9.21,0.31351192999999994
93.92,2294,9.1,19.55,0.23448719
96.14,2134,12.14,14.99,0.28887874999999996
97.3,2393,10.53,16.83,0.2662462400000001
90.91,2069,16.27,9.02,0.31685073
95.09,2434,10.88,18.71,0.24406067000000004
94.16,2199,20.66,10.69,0.32939745
91.91,2135,15.66,8.5,0.3196311
95.56,1989,18.83,9.04,0.34958640999999996
92.17,2224,8.2,16.33,0.24628549000000002
91.16,2146,14.98,17.96,0.25658786
93.28,2074,13.23,9.68,0.31396425000000006
97.7,2477,6.23,16.61,0.25213724000000004
92.17,2266,3.19,19.88,0.20733531000000008
93.79,2544,4.16,16.86,0.22327376000000004
95.96,2534,14.36,10.7,0.3025979
92.69,2189,8.4,9.55,0.29172783
93.49,2398,3.45,10.97,0.26183267999999993
89.41,2183,14.83,12.44,0.27970671
93.79,2261,5.62,19.85,0.22272339000000005
91.82,2016,14.92,8.29,0.32360114999999995
93.18,2226,14.53,8.82,0.3158182500000001
94.14,2474,12.61,16.47,0.25680156
95.61,2225,12.88,15.95,0.27883831000000003
95.78,2204,15.94,10.09,0.32543433000000005
93.44,2077,1.27,16.75,0.23460954
92.47,2091,5.59,16.63,0.24376035999999995
94.8,2339,15.02,17.12,0.26957866
91.77,2472,-0.63,14.15,0.21871029999999994
94.5,2033,15.58,13.09,0.30819329000000006
96.88,2340,8.34,15.18,0.26984887999999996
92.56,1904,13.44,9.82,0.31824394
99.9,2137,12.49,5.47,0.36434612000000005
89.57,2278,5.12,16.08,0.22384930000000003
91.78,2191,9.25,16.09,0.25073626
93.32,2054,5.39,15.93,0.25291816
96.84,2246,11,14.09,0.28882723000000005
92.33,2259,14.71,11.06,0.29750189
93.68,2507,0.35,14.83,0.22479126
96.56,2398,9.14,18.59,0.24769739000000005
95.67,2268,7.44,16.18,0.25877636000000004
94.14,2040,17.91,8.71,0.33989786
94.68,1860,14.45,9.77,0.33337726000000006
92.61,1876,17.58,-6.33,0.42998181
94.81,2121,12.85,11.06,0.30929967
91.74,2491,-0.55,10.24,0.24151463
96.06,2113,10.62,10.88,0.3094871800000001
91.79,2073,12.12,15.01,0.27163269
93.64,2066,5.87,16.29,0.25316084000000005
95.2,2045,15.77,9.69,0.33191786
95.82,2388,4.86,19.2,0.22773581999999992
92.78,1935,19.37,4.62,0.36768337
92.52,2329,6.2,13.44,0.25426044000000003
94.79,2187,8.15,16.87,0.25651548
94.37,2246,4.62,18.51,0.23100385000000007
90.34,1917,5.51,12.14,0.26878011
92.12,2498,3.91,20.77,0.19341432000000008
94.12,1996,6.45,10.33,0.2962629400000001
89.38,2162,8.89,12.15,0.26372408
95.16,2247,9.64,17.1,0.25873494
92.73,2112,12.97,4.68,0.3390353700000001
90.19,2124,12.23,6.36,0.31446767000000003
94.3,2470,8.19,17.72,0.23637896999999997
94.53,2054,17.8,9.3,0.3371403600000001
94.26,2145,6.28,13.85,0.26836831000000005
96.19,2278,5.91,14.3,0.26724141
96.26,2152,13.38,11.82,0.3115771600000001
97.11,2167,8.85,14.13,0.28670592
96.5,2546,3.06,18.3,0.22343427999999996
94.45,2278,4.59,8.49,0.29018642
88.24,2185,3.07,21.57,0.18254324000000005
90.6,2274,13.6,15.64,0.2578646
91.99,2412,9,20.8,0.21245818
95.37,2076,13.53,10.27,0.32078978000000014
96.35,2233,8.29,19.09,0.24859631999999993
92.98,2064,8.22,14.38,0.2690879200000001
94.29,2260,11.04,16.15,0.26426915
96.65,2131,6.2,13.07,0.28435955
94.2,2428,9.35,17.29,0.24405139999999997
91.93,2274,12.25,13.44,0.27297101
92.26,2170,3.14,15.02,0.24124884000000002
87.5,NA,12.13,9.98,NA
98.67,2187,19.67,5.42,0.3791792500000001
90.73,2287,5.73,15.32,0.23521485
95.97,2209,9.12,16.76,0.2645875
93.82,2171,3.87,13.61,0.25909499999999996
94.5,2137,11.56,14.97,0.27956942999999995
93.92,2149,6.33,17.92,0.24226923
91.62,2292,-1.53,13.78,0.22565255000000006
94.79,2256,4.19,14.94,0.25263025000000006
90.04,2140,6.21,13.17,0.25322306000000006
93.15,2494,11.3,13.64,0.26433280000000003
95.86,1995,14.76,5.95,0.35658805000000005
94.62,2402,9.35,17.95,0.24317654
97.18,2714,8.99,9.06,0.2930660300000001
93.71,2505,2.79,19.69,0.20335793999999996
93.37,2195,2.65,20.35,0.21152914
92.72,1976,15.64,-0.96,0.38751076
93.99,2516,4.19,17.88,0.21941115
92.91,2302,11.55,17.55,0.24921611999999999
91.68,2093,6.16,16.87,0.24039929000000004
93.47,1884,17.38,2.74,0.37826898000000003
94.43,2104,5.57,19.44,0.23511637000000002
92.78,2124,14.84,10.04,0.31226227999999995
96.41,2358,5.29,16.62,0.24868279000000004
96.98,2345,15,17.21,0.27864551000000004
95.29,2312,9.14,15.98,0.2615505
90.33,2184,13.99,9.22,0.30063533
94.68,2391,10.17,19.24,0.23874047000000004
93.59,2062,14.72,4.94,0.34913744
95.74,2255,2.68,19.22,0.22650702000000006
92.1,2114,1.83,17.39,0.22470214
94.73,2106,4.28,16.87,0.24784935000000002
97.66,2463,8.53,14.4,0.27309131
93.21,1896,13.81,5.09,0.3512278
96.37,2172,7.56,17.85,0.25666037
94.81,2074,13.8,12.13,0.30796297000000006
88.06,2128,11.04,10.09,0.27837859000000004
94.28,2224,11.17,16.96,0.26139087000000005
97.44,2427,12.29,4.26,0.34656525000000005
93.88,3024,11.38,13.43,0.24501014999999995
93.16,2354,8.02,19.23,0.22683922999999995
94.18,2573,5.16,19.04,0.21371904000000003
92.18,2099,5.01,17.84,0.2329709900000001
95.2,2315,11.05,14.42,0.27636705000000006
92.29,2279,5.54,10.35,0.2720472500000001
97.34,2447,7.82,17.31,0.25261099000000004
96.15,2335,16.9,10.99,0.31872425000000004
95.71,1966,14.75,9.33,0.33683041999999996
94.3,2162,16.84,4.23,0.35871496999999997
94.36,2209,7.05,15.3,0.25957457
98.18,2365,4.7,20.34,0.23218276000000004
95.48,2342,11.02,17.82,0.25583452000000007
96.55,2552,10.01,15.86,0.25979462999999997
94.88,2415,3.8,15.99,0.23824620999999996
94.48,2182,17.58,8.8,0.3334009
92.43,2083,3.33,15.54,0.24345195000000008
94.42,2257,6.86,15.19,0.25772887
90.92,2314,10.5,13.03,0.26354439
91.84,2489,12.45,13.48,0.26314003
90.4,1979,7.02,19.52,0.22647786000000003
94.04,2292,13.71,14.71,0.27868386000000006
95.17,2573,3.15,19.73,0.20780094000000005
93.49,2245,6.7,15.42,0.25214797999999994
93.4,2709,2.54,11.02,0.24409732000000006
96.98,2156,15.67,3.45,0.37226032000000003
91.7,1985,6.88,21.07,0.22235889000000003
95.58,2512,9,20.47,0.22626401000000004
92.64,2311,6.5,17.39,0.23276682999999995
96.81,2246,9,16.31,0.26906887
93.77,1994,3.47,14.47,0.26050739999999994
95.11,2264,11.82,14.02,0.28309678
93.31,2134,5.91,14.58,0.25898224999999997
97.6,2250,14.17,14.02,0.3024336099999999
89.98,2227,8.5,10.29,0.27348581
88.43,2170,15.2,12.37,0.27740601000000004
99.44,2290,20.84,6.38,0.37586509999999995
93.78,2204,11.44,12.98,0.28484458
92.52,2038,6.31,18.71,0.23612181999999998
95.22,2372,4.24,18.43,0.22843121000000002
92.55,2078,8.79,16.39,0.25615772000000003
90.43,2212,9.54,4.86,0.31218638000000004
92.44,2219,3.87,4.98,0.30260639
92.09,2283,3.96,17.89,0.22058961
95.34,2522,6.91,15.24,0.2496968100000001
87.78,2285,9.94,18.68,0.21475198
99,2152,8.51,18.53,0.26844028
95.23,2530,8.02,12.03,0.2716369700000001
92.87,2257,1.41,16.39,0.22640742000000003
96.48,2266,13.85,12.62,0.3040302100000001
98.05,2114,17.05,10.36,0.34173385
95.81,2299,13.23,14.33,0.28722986
90.35,2217,13.37,15.77,0.25782176000000007
92.07,2507,7.09,4.23,0.30236046
93.31,2235,11.97,14.05,0.27649527999999995
92.86,2107,8.93,15.16,0.26409751000000004
95.03,2337,6.5,19.06,0.23242266
96.51,2168,14.63,15.04,0.29649131000000006
94.86,2320,6.62,17.36,0.24303958000000003
96.19,2355,0.95,19.84,0.21486163000000008
94.02,2218,14.85,15.01,0.28371974000000005
94.34,2054,2.23,6.77,0.30289172000000003
94.41,2241,9.36,17.47,0.25248335
98.67,2459,15.59,12.4,0.31197971
98.06,2462,9.97,13.58,0.28439933
84.66,1840,2.44,10.99,0.24372029
95.38,2275,8.26,15.53,0.26361129
90.05,2060,16.25,7.45,0.3227346
91.31,2407,11.08,16.78,0.24030036000000005
96.55,2678,14.19,6.25,0.32500342000000004
92.63,2172,9.28,16.11,0.25545355000000003
89.84,2008,12.99,15.56,0.26510405000000004
92.99,2130,-0.83,16.24,0.22665429000000004
92.51,2165,11.48,8.29,0.30921141
95.68,2544,9.06,18.7,0.23611264000000004
94.35,1969,2.96,19.66,0.23143088
92.96,2485,4.09,18.73,0.21069234000000003
93.4,2176,17.37,7.29,0.33718946000000005
92.11,2100,6.88,14.18,0.26049755999999996
98.44,2244,20.98,5.3,0.38034492
94.56,2305,5.94,18.29,0.23462809000000007
89.67,1906,16.88,-1.44,0.3835531800000001
95.15,2262,3.02,18.82,0.22696806000000003
93.83,2061,9.46,10.7,0.29914694000000003
95.36,2322,1.28,21.28,0.20493456000000004
95.92,2597,8.96,18.48,0.23580392000000006
91.56,2268,15.36,14.35,0.27578645
86.26,1856,12.26,8.51,0.2958997500000001
93.5,2222,17,8.95,0.32439105
94.29,1960,7.3,14.9,0.27380037999999995
94.64,3242,18.53,0.83,0.33678092000000004
94.93,2212,13.75,15.44,0.28211871000000005
95.75,2088,19.56,10.76,0.33785558000000004
99.34,2020,14.48,6.05,0.36984687000000005
95.58,2088,8.19,19.08,0.25144353
93.72,2414,16.65,14.26,0.28355368999999997
97.87,2629,6.2,18.78,0.23281364000000004
92.67,2281,0.21,22.1,0.18625027000000005
96.8,2157,17.34,10.97,0.33130097
94.76,2111,15.19,12.37,0.30894264000000005
93.17,2299,3.97,16.03,0.23602470000000003
92.83,2043,7.57,14.75,0.26510202000000005
94.64,2247,14.7,14.95,0.28511883000000005
92.97,1903,8.28,11.92,0.29139278
98.95,2306,16.01,11.81,0.3251002800000001
91.4,2262,12.37,19.1,0.23737361
93.96,1999,11.29,11.22,0.30514929
91.25,2297,8.02,17.22,0.23283526000000004
90.41,2293,5.93,16.36,0.22784000999999998
93.83,2560,6.35,17.88,0.22342051000000002
93.42,2290,5.8,18.35,0.22931269000000007
94.78,2213,8.23,18.46,0.24595435000000002
95.42,2496,13.74,14.54,0.27679496000000003
92.59,2175,15.75,13,0.29407783000000004
95.39,2231,12.7,14.61,0.28507243
94.46,2308,13.43,17.31,0.26333085999999994
96.37,2511,8.58,18.2,0.24227868000000002
89.99,2053,12.05,5.03,0.32424397999999993
91.33,2313,6.49,15.63,0.23727218
96.57,2549,9.88,17.62,0.24901268000000001
93.5,2264,13.08,8.36,0.31378844
97.13,2234,12.56,16.34,0.28201304000000005
92.57,2355,2.25,18.25,0.21198684000000007
95.24,2203,11.43,15.21,0.2780837199999999
95.66,1982,3.45,11.01,0.29046081999999995
95.81,2328,3.32,14.95,0.25122303
94.05,2070,4.41,14.6,0.26047153
95.24,2345,11.29,14.97,0.27261729999999995
88.52,1897,11.63,5.71,0.31924278
96.13,2225,9.06,16.72,0.26464144
95.99,2318,8.57,12.65,0.28275344
94.07,2302,11.7,13.1,0.28178774
96.77,2344,11.34,11.66,0.29974165999999997
91.98,2100,2.9,13.32,0.25265645999999997
97.23,2033,7.35,18.46,0.26259101
92.59,2068,15.68,4.28,0.35127642000000003
93.18,2317,13.81,15.7,0.26796809000000005
95.23,2211,18.39,5.99,0.35495988000000006
96.01,2434,7.88,17.44,0.24654046000000002
94.61,2026,11.91,15.69,0.2818879
89.67,2051,17.08,12.6,0.29297478000000005
94.77,2509,11.16,15.5,0.25939552
92.13,2120,17.21,10.09,0.31657964000000005
91.98,2177,5.02,19.38,0.21925452
91.62,2091,-0.82,17.83,0.2126342300000001
94.46,2399,2.5,18.81,0.21600936999999998
91.82,2263,8.88,19.23,0.22756153
93.64,2153,8.18,17.83,0.24712927
94.27,2258,5.29,16.28,0.24552861
93.25,2524,4.97,19.36,0.20918941000000008
95.53,2099,12.29,15.01,0.28803988
95.01,2175,14.94,11.72,0.31030024000000006
92.52,2183,5.19,19.86,0.21908330999999998
97.1,2063,6.75,16.18,0.27249315
95.45,2237,9.16,19.94,0.24190388000000004
91.49,2320,-1.89,18.38,0.19494340999999998
94.23,2025,10.7,15.77,0.27593911000000004
90.74,2171,15.11,12.22,0.28852131000000003
93.21,1857,5.8,15.18,0.26719871999999995
94.78,1845,13.12,-2.51,0.4043508700000001
93.66,2228,13.55,12.24,0.29425077000000005
95.07,2203,17.74,10.66,0.32442805999999996
91.11,2068,11.48,12.26,0.28332855999999995
93.46,2338,12.02,16.27,0.25926342999999996
92.98,2039,15.47,8.17,0.33028492
93.4,2164,3.23,18.08,0.2285676900000001
98.47,2120,17.99,5.64,0.37474990999999996
97.76,2518,11.14,17.25,0.26201928999999996
95.58,2659,7.56,19.85,0.21879918999999998
97.04,2268,6.7,18.19,0.25060503000000006
95.71,2433,16.76,11.04,0.31150969999999994
93.77,2547,3.6,20.56,0.19900434
92.92,2410,4.99,19.43,0.21252305999999999
94.9,2235,11.05,16.3,0.26731945
90.19,2095,8.94,16.19,0.24628964999999997
91.59,2348,13.46,15.96,0.25664136000000004
91.03,2196,13.24,7.74,0.30985628000000004
93.4,2417,2.18,18.03,0.21405299000000005
99.22,2463,12.88,17.29,0.27638083
95.92,2381,7.27,15.67,0.25730590000000003
90.61,2080,15.1,9.24,0.3100011200000001
93.58,1986,19.2,13.56,0.31461295999999994
91.71,2079,14.89,11.94,0.29814158999999996
94.17,2118,6.39,13.39,0.27230396
96.08,2059,14.93,10.09,0.3302607
96.07,2605,10.54,17.33,0.24798650999999994
98.52,2509,6.16,19.92,0.23425751999999997
95.11,2252,18.75,10.45,0.32679561999999995
94.56,2546,-0.02,20.73,0.19032441000000003
92.27,2109,10.2,18.7,0.24395244000000005
97.11,2475,5.51,19.45,0.2301773
96.81,2388,16.78,8.22,0.33563286
95.63,2362,5.09,16.33,0.24606468000000004
95.26,2070,13.04,15.24,0.2890870400000001
95.57,2288,1.99,20.91,0.21188955999999992
88.02,1742,14.57,10.75,0.3028454
97.57,2444,4.39,17.02,0.24483241
94.27,2363,4.56,19.21,0.22080757
97.25,2238,8.58,14.51,0.28097429
98.68,2424,3.3,19.32,0.23354666000000007
87.42,1852,15.43,11.5,0.29325923000000004
95.47,2588,10.44,17.7,0.24348296000000008
94.84,2400,6.21,15.41,0.24976866000000003
100.77,1822,13.36,4.85,0.38913157
93.69,2411,10.39,16.43,0.2509294
92.93,2083,18.29,14.22,0.30040603000000005
94.79,2405,8.99,18.35,0.24028100000000008
95.35,1981,4.83,16.07,0.26291544
92.29,2264,3.64,20.32,0.2067283000000001
93.63,2166,8,17.48,0.24803746
92.5,2090,10.29,18.28,0.24867966999999996
90.59,2008,14.91,9.02,0.31392521
94.46,2283,10.57,15.88,0.26415482999999995
94.08,2394,6.49,17.37,0.23564058
99.03,2530,5.33,18.27,0.2429757
94.11,2643,12.24,17.73,0.24021129000000008
94.78,2223,2.02,18.65,0.22495977000000006
93.51,2161,14.39,9.89,0.31340374000000004
93.88,2523,5.21,17.21,0.22581234
94.24,2225,7.09,15.95,0.2545062
97.37,2201,11.09,13.5,0.29713291000000003
94.15,2019,15.74,3.22,0.36720142000000006
95.24,2131,9.31,16.63,0.26619066
94.43,1960,15.16,11.23,0.32109759
94.57,2093,14.23,14.47,0.29324607999999996
95.85,2689,3.36,16.83,0.22374183
95.57,2210,11.56,17.14,0.26804772
95.2,1964,4.32,14.98,0.26798086000000004
96.32,2363,2.93,10.31,0.27869168
95.15,2229,17.3,10.06,0.3258483000000001
93.36,2163,7.93,17.94,0.24395240999999998
93.26,2041,16.24,6.35,0.3448412900000001
92.79,2430,11.91,12.12,0.27667191
90.16,2071,16.76,12.04,0.29667279999999996
90.74,2350,13.08,17.56,0.24184572000000004
92.08,2321,6.31,15.59,0.24000774000000002
92.17,2233,16.35,12.54,0.29416229000000005
92.46,2148,14.33,15.66,0.2742548099999999
87.45,1895,11.61,6.4,0.31023293
91.65,2465,13.71,13.99,0.26422988000000003
92.25,1652,8.34,12.01,0.29919887
91.39,1993,2.14,17.17,0.22927435000000002
91.13,1852,11.51,7.63,0.32125884
92.31,2342,14.26,5.9,0.3233095000000001
90.02,2001,19.15,-4.54,0.40658458999999997
95.27,2120,19.46,3.7,0.37643082
90.58,2606,-1.44,20.42,0.16686473999999996
93.9,2201,15.19,13.56,0.29374557
93.03,2170,8.13,15.78,0.25576635000000003
93.49,2337,11.62,14.35,0.26976469000000003
98.06,2307,8.42,18.59,0.25644143
94.69,2249,11.07,7.68,0.31772099000000004
95.43,2328,17.03,7.01,0.3401443
98.42,2505,4.56,16.85,0.24748367000000004
95.27,2234,12.97,7.66,0.32710514999999996
96.62,2277,14.01,11.13,0.31364422000000003
90.44,2275,14.91,5.89,0.31992395999999995
95.24,2581,7.63,18.19,0.23102501999999991
92.24,2292,15.39,17.32,0.25999365
90.93,2288,6.73,10.53,0.26806440000000004
96.83,1868,8.7,14.91,0.29389500999999996
93.87,2112,17.42,11.09,0.31951315
86.06,1971,-2.96,11.75,0.22269029
95.82,2186,17.8,6.21,0.35562339
93.78,2361,14.23,13.06,0.28591655000000005
92.76,2351,5.1,19.36,0.21524882
93.76,2420,17.41,6.95,0.3298788
93.61,2073,4.12,17.82,0.23802127999999997
94.97,1988,12.03,16.51,0.28069728
90.69,2474,6.77,20.56,0.19818209000000003
88.66,1791,14.91,7.91,0.3217035
93.61,2030,8.95,14.57,0.27464742
87.21,1881,14.36,12.58,0.2811302
97.04,2537,7.45,12.89,0.27261338000000007
90.48,2138,13.01,12.87,0.27836544
90.53,2148,3.96,16.32,0.22908813999999994
89.36,2257,1.24,21.89,0.17672639
95.86,2381,7.75,17.7,0.24630047000000005
98.28,2555,7.5,18.96,0.24103386000000004
96.86,2153,5.7,13.64,0.27931862
92.61,2036,13.59,13.08,0.29327978999999993
94.77,2514,10.79,11.61,0.28144926000000003
92.87,2528,-2,12.84,0.22478914000000005
97.89,1973,18.27,7.77,0.36684834
96.09,2240,15.65,14.05,0.30044228
96.55,2211,2.67,17.54,0.24229941
96,2412,11.16,17.71,0.25611472999999996
93.01,2341,9.89,19.17,0.23294924000000006
92.44,2219,6.1,14.32,0.25329718
97.75,2221,11.76,18.38,0.27064488
97.78,2100,16.13,10.22,0.33911084999999996
87.87,1909,14.48,5.51,0.32583583000000005
91.71,2172,7.9,18.4,0.23314952
87.74,2170,10.3,13.86,0.24997828
97.15,2168,5.25,15.46,0.26758675
90.52,2370,6,17.98,0.21528873999999992
94.04,2315,3.12,20.28,0.21100324000000004
95.89,2054,7.26,6.09,0.32976851000000007
93.53,2341,15.48,12.21,0.29471305000000003
97.17,2146,3.92,14.57,0.26988985000000004
95.51,2177,8.57,16.14,0.2659660300000001
95.76,2544,10.12,12.67,0.27611873000000003
91.88,2069,10.47,16.44,0.25845697
96.72,2249,11.65,16.04,0.27842419
96.21,2432,14.25,19.16,0.25707456999999995
90.98,1975,11.74,13.99,0.27736503
93.89,2514,0.19,20,0.19378115
96.27,2287,14.4,14.09,0.29497549
95.32,2246,9.96,17.25,0.25960607
93.26,2166,10.92,14.99,0.27047093000000005
90.87,2216,6.97,2,0.32321665
92.31,2215,10.1,15.16,0.26031752
63.18,1509,-3.01,17.7,0.10337402999999998
94.03,2516,5.67,21.32,0.20348966999999996
95.48,2027,16.89,6.53,0.35655278000000007
89.97,1888,14,7.31,0.32402959
95.75,2137,7.92,14.87,0.27450671
92.13,2113,14.14,9.37,0.31164923
93.7,2437,9.4,15.8,0.2504934000000001
90.66,2190,16.08,4.27,0.33821800999999996
92.67,2295,5.24,21.2,0.20674306000000006
94.76,2215,17.34,13.73,0.30272069
91.67,2094,10.71,13.88,0.27253247
95.43,1920,16.92,7.19,0.35732107
89.92,1826,15.23,8.93,0.32070948000000005
99.48,2430,-3.84,16.13,0.23384419000000004
95.79,2462,2.84,20.56,0.20972210000000008
95.67,2217,7.97,13.34,0.27986815000000004
96.68,2297,10.15,16.72,0.26727141000000004
98.34,2015,14.47,4.79,0.37307314
93.94,2299,11.37,11.46,0.29018189
94.94,2219,16.87,11.41,0.31586964000000006
93.16,2084,15.69,1.06,0.37257889
96.99,2156,14.5,11.39,0.32081352999999996
92.52,2123,10.85,16.72,0.25841399
93.93,2421,17.83,10.74,0.30908565000000005
94.97,2365,11.71,18.19,0.25238471999999995
94.84,2394,8.97,11.32,0.28330399
97.69,1870,18.3,3.52,0.39633268
96.09,2319,8.16,18.78,0.24495036
92.02,2406,6.01,21.21,0.20106062
96.23,2103,14.85,9.91,0.32977326
96.69,2035,6.85,15.07,0.27889958000000004
96.05,2343,15.62,9.54,0.32264206
93.52,1799,5.32,7.64,0.3151872
92.02,2053,5.51,15.25,0.25150491999999997
92.36,2354,7.34,18.52,0.22534374000000001
94.34,2395,4.76,16.62,0.23589706000000005
84.58,2056,14.11,-9.28,0.39207789000000004
91.48,2351,16.8,4.86,0.33331106000000005
92.35,2340,9.1,20.24,0.22106999999999996
98.42,2363,4.49,18.84,0.24175051000000003
90.83,2192,5.02,17.78,0.22296421999999996
90.34,1944,7.01,14.48,0.25813491000000005
93.44,2056,3.6,15.37,0.25115823
91.14,2459,-0.23,19.35,0.18634824000000003
92.31,1970,5.88,15.23,0.25788871
100.19,1997,14.43,7.24,0.36744747
89.95,2107,18.74,0.61,0.36912247000000004
94.23,2131,6.86,17.92,0.24615944000000003
92.94,2192,0.57,19.57,0.20790793999999999
90.56,2053,18.08,9.63,0.31796101
93.68,2159,4.93,16.71,0.24363640000000003
97.4,2452,2.53,17.39,0.23565404
88.84,2001,16.01,9.85,0.3046954600000001
91.12,2285,11.73,15.49,0.25479898000000006
96.35,2175,13.17,12.25,0.30769235999999994
91.6,2241,6.43,13.83,0.25244474000000006
96.97,2710,13.55,9.3,0.30508529000000006
92.55,2067,5.37,14.89,0.25501616000000005
